,index,projectId,name,difficulty,priority,percentMapped,percentValidated,status,lastUpdated,dueDate,country,organisationName,creation_date,totalArea,totalContributors,author,creation_date_datetime,concat,duplicated
480,2009,14920,"Missing Maps: Tegucigalpa, Honduras  (1/4)",EASY,HIGH,100,100,ARCHIVED,2023-06-29 13:46:38,,['Honduras'],Médecins Sans Frontières (MSF),2023-06-01 10:01:53,1.486,50,ola_ooo,2023-06-01 10:01:53,"Missing Maps: Tegucigalpa, Honduras  (1/4)Médecins Sans Frontières (MSF) ola_ooo['Honduras']",FALSE
484,2017,14947,Laos - Road Finder Project - Ta-oy District,EASY,HIGH,100,99,ARCHIVED,2024-02-15 8:51:56,,['Laos'],Open Mapping Hub Asia-Pacific,2023-06-08 5:48:25,1075.176,155,Madaam,2023-06-08 5:48:25,Laos - Road Finder Project - Ta-oy DistrictOpen Mapping Hub Asia-PacificMadaam['Laos'],FALSE
485,2018,14960,Segera Township buildings,MODERATE,HIGH,100,100,ARCHIVED,2023-12-27 9:12:43,2023-10-10 21:00:00,['Tanzania'],ROOTGIS,2023-06-11 9:43:31,9.81,70,KAWAMALA,2023-06-11 9:43:31,Segera Township buildingsROOTGISKAWAMALA['Tanzania'],FALSE
491,2024,15060,"Missing Maps: buildings in Sheraro, Ethiopia",MODERATE,HIGH,100,100,ARCHIVED,2023-08-21 9:29:02,,['Ethiopia'],Médecins Sans Frontières (MSF),2023-07-04 13:52:07,16.637,25,Jorieke Vyncke,2023-07-04 13:52:07,"Missing Maps: buildings in Sheraro, EthiopiaMédecins Sans Frontières (MSF) Jorieke Vyncke['Ethiopia']",FALSE
495,2028,15235,Map Gusau for Flood Disaster Preparedness,EASY,HIGH,100,100,ARCHIVED,2024-03-26 15:51:14,,['Nigeria'],"Unique Mappers Network, Nigeria",2023-07-24 21:15:59,3050.569,339,Kingsley Chika CHUKWU,2023-07-24 21:15:59,"Map Gusau for Flood Disaster Preparedness Unique Mappers Network, NigeriaKingsley Chika CHUKWU['Nigeria']",FALSE
497,2031,15414,Brasil - Populations in Flood Risk Zones -  Lower River São Francisco - Area 01,MODERATE,HIGH,100,100,ARCHIVED,2025-03-26 16:31:32,2024-08-31 3:00:00,['Brazil'],Canoa de Tolda,2023-08-21 16:40:29,35.628,12,Carlos Eduardo Ribeiro Junior,2023-08-21 16:40:29,Brasil - Populations in Flood Risk Zones -  Lower River São Francisco - Area 01Canoa de ToldaCarlos Eduardo Ribeiro Junior['Brazil'],FALSE
504,2046,15524,Mapatón preventivo de Gestión de riesgo : Guayaquil Ecuador,MODERATE,HIGH,100,100,ARCHIVED,2023-12-13 17:32:58,2023-11-30 5:00:00,['Ecuador'],Open Mapping Hub for Latin America and the Caribbean,2023-09-19 18:13:01,2.992,75,Juan Carlos Melo Luna,2023-09-19 18:13:01,Mapatón preventivo de Gestión de riesgo : Guayaquil EcuadorOpen Mapping Hub for Latin America and the CaribbeanJuan Carlos Melo Luna['Ecuador'],FALSE
522,2066,15729,Mapping the Jambuaçu Quilombola Territory and its communities - state of Pará/Amazon/Brazil,MODERATE,HIGH,100,100,ARCHIVED,2024-04-17 8:20:55,2023-11-10 3:00:00,['Brazil'],Open Mapping Hub for Latin America and the Caribbean,2023-10-25 14:59:53,1229.193,94,Everton Bortolini,2023-10-25 14:59:53,Mapping the Jambuaçu Quilombola Territory and its communities - state of Pará/Amazon/BrazilOpen Mapping Hub for Latin America and the CaribbeanEverton Bortolini['Brazil'],FALSE
524,2068,15740,"Missing Maps: Homa Bay county, Kenya (7) ",EASY,HIGH,100,100,ARCHIVED,2024-06-03 12:32:48,,['Kenya'],Médecins Sans Frontières (MSF),2023-10-30 10:33:28,696.273,370,ola_ooo,2023-10-30 10:33:28,"Missing Maps: Homa Bay county, Kenya (7) Médecins Sans Frontières (MSF) ola_ooo['Kenya']",FALSE
535,2079,15852,El wak Flood Response Mapathon,MODERATE,HIGH,100,100,ARCHIVED,2024-01-05 18:08:13,2023-10-14 21:00:00,['Kenya'],Kenya Red Cross,2023-12-12 4:37:47,10.931,36,Boneya Hassan,2023-12-12 4:37:47,El wak Flood Response MapathonKenya Red CrossBoneya Hassan['Kenya'],FALSE
537,2081,15887,"Sea of Japan earthquake, 2024 Building and Road Mapping. Suzu, Ishikawa, Japan",EASY,HIGH,100,100,ARCHIVED,2024-01-08 20:20:58,2024-12-30 15:00:00,['Japan'],Crisis Mappers Japan,2024-01-04 6:23:02,261.732,100,Taichi Furuhashi,2024-01-04 6:23:02,"Sea of Japan earthquake, 2024 Building and Road Mapping. Suzu, Ishikawa, JapanCrisis Mappers JapanTaichi Furuhashi['Japan']",FALSE
547,2091,15952,Somalia IDP mapping - 1,MODERATE,HIGH,100,100,ARCHIVED,2025-03-28 15:05:52,,['Somalia'],HOT,2024-01-16 14:37:06,15.803,63,chomba chishala,2024-01-16 14:37:06,Somalia IDP mapping - 1HOTchomba chishala ['Somalia'],FALSE
548,2092,15956,Mapping Kajo Keji Returnees,EASY,HIGH,100,100,ARCHIVED,2024-05-29 14:03:47,,['South Sudan'],OSM South Sudan,2024-01-17 16:10:18,10.656,60,Romeo RONALD  LOMORA,2024-01-17 16:10:18,Mapping Kajo Keji ReturneesOSM South SudanRomeo RONALD  LOMORA['South Sudan'],FALSE
556,2104,16122,Amazon mapping in Colombia in support of community-based fire risk management Orito Putumayo,MODERATE,HIGH,100,100,ARCHIVED,2024-07-09 20:39:00,2024-02-29 5:00:00,['Colombia'],Open Mapping Hub for Latin America and the Caribbean,2024-02-07 12:46:33,14.894,61,Juan Carlos Melo Luna,2024-02-07 12:46:33,Amazon mapping in Colombia in support of community-based fire risk management Orito PutumayoOpen Mapping Hub for Latin America and the CaribbeanJuan Carlos Melo Luna['Colombia'],FALSE
561,2109,16174,Mapping of buildings in Owendo,EASY,HIGH,100,100,ARCHIVED,2024-12-03 10:02:15,,['Gabon'],OSM Gabon,2024-02-16 7:33:11,85.762,278,Geoffrey Kateregga,2024-02-16 7:33:11,Mapping of buildings in OwendoOSM GabonGeoffrey Kateregga['Gabon'],FALSE
568,2116,16297,"Missing Maps: Residential Land Use, Djokoro, Chad",MODERATE,HIGH,100,100,ARCHIVED,2025-01-22 9:33:19,,['Chad'],Médecins Sans Frontières (MSF),2024-03-06 15:40:35,32.815,11,Nash Naufal,2024-03-06 15:40:35,"Missing Maps: Residential Land Use, Djokoro, ChadMédecins Sans Frontières (MSF) Nash Naufal['Chad']",FALSE
594,2142,16664,Househoold survey of Dakshin Shreepur,MODERATE,HIGH,100,100,ARCHIVED,2024-08-27 3:42:11,,['Bangladesh'],NAXA,2024-04-25 11:10:21,82.128,7,OSMNAXA,2024-04-25 11:10:21,Househoold survey of Dakshin ShreepurNAXAOSMNAXA['Bangladesh'],FALSE
595,2143,16665,"Mini Maps - Wildmare Creek Fire Response, BC, Canada",EASY,HIGH,100,100,ARCHIVED,2024-05-22 17:46:15,,['Canada'],Canadian Red Cross,2024-04-25 17:42:21,108.315,90,Rhea,2024-04-25 17:42:21,"Mini Maps - Wildmare Creek Fire Response, BC, CanadaCanadian Red CrossRhea['Canada']",FALSE
601,2149,16727,"Preventive flood mapping - General Fernández Oro, Río Negro Argentina",EASY,HIGH,100,100,ARCHIVED,2024-07-09 20:38:48,2024-08-31 5:00:00,['Argentina'],Open Mapping Hub for Latin America and the Caribbean,2024-05-09 21:28:31,19.481,109,Juan Carlos Melo Luna,2024-05-09 21:28:31,"Preventive flood mapping - General Fernández Oro, Río Negro ArgentinaOpen Mapping Hub for Latin America and the CaribbeanJuan Carlos Melo Luna['Argentina']",FALSE
602,2150,16742,Dodoma Mapathon 2024: Let's Map Together,EASY,HIGH,100,100,ARCHIVED,2025-02-03 3:32:25,2024-06-11 21:00:00,['Tanzania'],ROOTGIS,2024-05-12 6:29:35,42.411,78,Shabani Magawila,2024-05-12 6:29:35,Dodoma Mapathon 2024: Let's Map TogetherROOTGISShabani Magawila['Tanzania'],FALSE
607,2155,16836,"Chinhoyi Urban Renewal, Zimbabwe",MODERATE,HIGH,100,100,ARCHIVED,2024-11-07 11:40:20,2024-08-29 22:00:00,['Zimbabwe'],Geo-Connect Zimbabwe,2024-05-23 18:39:10,150.23,89,KUMBIRAI MATINGO,2024-05-23 18:39:10,"Chinhoyi Urban Renewal, ZimbabweGeo-Connect ZimbabweKUMBIRAI MATINGO['Zimbabwe']",FALSE
608,2157,16867,"Danisa village 2, Tana River",MODERATE,HIGH,100,100,ARCHIVED,2024-06-28 5:59:41,2024-07-05 21:00:00,['Kenya'],Kenya Red Cross,2024-06-01 7:26:42,0.869,7,Boneya Hassan,2024-06-01 7:26:42,"Danisa village 2, Tana RiverKenya Red CrossBoneya Hassan['Kenya']",FALSE
615,2165,17033,Nairobi River Njiru2,MODERATE,HIGH,100,100,ARCHIVED,2024-08-14 5:49:03,2024-07-23 21:00:00,['Kenya'],Kenya Red Cross,2024-06-24 8:15:45,1.788,17,Mary Muthee,2024-06-24 8:15:45,Nairobi River Njiru2Kenya Red CrossMary Muthee['Kenya'],FALSE
628,2178,17269,"Mapping Landslide-Affected Areas in Gofa Zone, Southern Ethiopia:  Bulki",EASY,HIGH,100,100,ARCHIVED,2025-01-14 11:21:30,,['Ethiopia'],OSM Ethiopia,2024-07-25 20:21:12,1.623,15,Binyam Dele,2024-07-25 20:21:12,"Mapping Landslide-Affected Areas in Gofa Zone, Southern Ethiopia:  BulkiOSM EthiopiaBinyam Dele['Ethiopia']",FALSE
634,2184,17626,"Missing Maps: Bassiknou District, Mauritania (3)",MODERATE,HIGH,100,100,ARCHIVED,2024-11-28 20:55:24,,['Mauritania'],Médecins Sans Frontières (MSF),2024-09-20 18:35:57,141.396,98,Jorieke Vyncke,2024-09-20 18:35:57,"Missing Maps: Bassiknou District, Mauritania (3)Médecins Sans Frontières (MSF) Jorieke Vyncke['Mauritania']",FALSE
644,2197,18100,"Missing Maps: buildings in Cité Soleil, Haiti (1)",MODERATE,HIGH,100,100,ARCHIVED,2025-03-07 21:12:28,,['Haiti'],Médecins Sans Frontières (MSF),2024-11-20 8:15:06,17.355,80,Jorieke Vyncke,2024-11-20 8:15:06,"Missing Maps: buildings in Cité Soleil, Haiti (1)Médecins Sans Frontières (MSF) Jorieke Vyncke['Haiti']",FALSE
666,4438,8772,"Operation Fistula - Ifatsy, Madagascar",MODERATE,MEDIUM,100,100,ARCHIVED,2020-06-07 9:31:11,,['Madagascar'],Operation Fistula,2020-06-03 7:19:08,61.898,2,Dolly Andriatsiferana,2020-06-03 7:19:08,"Operation Fistula - Ifatsy, MadagascarOperation FistulaDolly Andriatsiferana['Madagascar']",FALSE
670,4448,8816,"COVID-19 Rapid Response Mapping: Montserrado County, Liberia",EASY,MEDIUM,100,100,ARCHIVED,2021-10-28 10:19:38,,['Liberia'],iLab Liberia,2020-06-10 13:08:48,2321.742,5,Carter Draper,2020-06-10 13:08:48,"COVID-19 Rapid Response Mapping: Montserrado County, LiberiaiLab LiberiaCarter Draper['Liberia']",FALSE
674,4461,8867,OSM Data Mapping and Validation for Kanchanpur District,MODERATE,MEDIUM,100,100,ARCHIVED,2020-11-27 5:41:53,,['Nepal'],Youth Innovation Lab,2020-06-15 5:51:12,1617.62,33,Pradip khatiwada,2020-06-15 5:51:12,OSM Data Mapping and Validation for Kanchanpur DistrictYouth Innovation LabPradip khatiwada['Nepal'],FALSE
681,4468,8884,Covid-19 Rapid Response - Kalangala,EASY,MEDIUM,100,100,ARCHIVED,2021-02-14 12:50:59,,['Uganda'],MapUganda,2020-06-17 7:44:38,143.474,30,Samson Ngumenawe,2020-06-17 7:44:38,Covid-19 Rapid Response - KalangalaMapUgandaSamson Ngumenawe['Uganda'],FALSE
696,4489,8929,"Čičava, Prešov Region (PSK), Slovakia",MODERATE,MEDIUM,100,100,ARCHIVED,2020-07-13 12:48:42,,['Slovakia'],World Bank,2020-06-22 10:27:50,5.294,4,Nuala Cowan,2020-06-22 10:27:50,"Čičava, Prešov Region (PSK), SlovakiaWorld BankNuala Cowan['Slovakia']",FALSE
717,4542,9121,"NIGERIA Niger, 1st WO, part 1",EASY,MEDIUM,100,100,ARCHIVED,2020-10-13 10:15:31,,['Nigeria'],INTEGRATION Consulting Group,2020-07-30 8:09:02,68.408,12,Egboka Philip,2020-07-30 8:09:02,"NIGERIA Niger, 1st WO, part 1INTEGRATION Consulting GroupEgboka Philip['Nigeria']",FALSE
718,4544,9135,Local Trails and Community Infrastructure Mapping for Emergency Preparedness and Response of Bajhang district of Nepal,EASY,MEDIUM,100,99,ARCHIVED,2022-05-18 14:18:55,,['Nepal'],NAXA,2020-08-03 4:37:45,3458.642,95,Anil Basnet,2020-08-03 4:37:45,Local Trails and Community Infrastructure Mapping for Emergency Preparedness and Response of Bajhang district of NepalNAXAAnil Basnet['Nepal'],FALSE
720,4546,9137,"Building Import Kisoro District Rubuguri, Kirundo Subcounties",EASY,MEDIUM,100,100,ARCHIVED,2020-08-25 11:02:01,,['Uganda'],HOT Uganda,2020-08-04 7:25:21,140.054,8,Deogratius Kiggudde,2020-08-04 7:25:21,"Building Import Kisoro District Rubuguri, Kirundo SubcountiesHOT UgandaDeogratius Kiggudde['Uganda']",FALSE
721,4547,9146,Building Import Kisoro District Busanza and Nyabishwenya Subcounties,EASY,MEDIUM,100,100,ARCHIVED,2020-08-25 10:36:51,,['Uganda'],HOT Uganda,2020-08-06 8:45:14,132.929,8,Shamillah Nassozi,2020-08-06 8:45:14,Building Import Kisoro District Busanza and Nyabishwenya SubcountiesHOT UgandaShamillah Nassozi['Uganda'],FALSE
722,4548,9153,Ituri Buildings Import (Project 01),MODERATE,MEDIUM,100,100,ARCHIVED,2022-05-19 12:53:19,,['Democratic Republic of the Congo'],OSM RDC,2020-08-06 15:21:11,3264.451,4,clairedelune,2020-08-06 15:21:11,Ituri Buildings Import (Project 01)OSM RDCclairedelune['Democratic Republic of the Congo'],FALSE
728,4555,9162,"Missing Maps: Marshall Islands, Majuro Atoll",MODERATE,MEDIUM,100,100,ARCHIVED,2020-11-12 15:37:01,,['Marshall Islands'],American Red Cross,2020-08-08 3:07:51,22.074,13,Eric,2020-08-08 3:07:51,"Missing Maps: Marshall Islands, Majuro AtollAmerican Red CrossEric['Marshall Islands']",FALSE
735,4566,9199,"Torit 1, Central Equatoria State - South Sudan Floods",MODERATE,MEDIUM,100,100,ARCHIVED,2021-08-12 8:00:56,,['South Sudan'],OSM South Sudan,2020-08-19 14:46:50,3393.811,6,Micheal,2020-08-19 14:46:50,"Torit 1, Central Equatoria State - South Sudan FloodsOSM South SudanMicheal['South Sudan']",FALSE
743,4575,9252,Ibadan Nigeria Urban Mapping - MapGive PEPFAR Maxar Mapathon,MODERATE,MEDIUM,100,100,ARCHIVED,2024-03-23 16:39:51,,['Nigeria'],MapGive,2020-08-27 17:29:44,4.292,23,Tom,2020-08-27 17:29:44,Ibadan Nigeria Urban Mapping - MapGive PEPFAR Maxar MapathonMapGiveTom['Nigeria'],FALSE
746,4580,9258,Trail and Community Infrastructure Mapping for Emergency Preparedness and Response in Kalikot District,EASY,MEDIUM,100,100,ARCHIVED,2020-12-22 7:15:40,,['Nepal'],Youth Innovation Lab,2020-08-30 7:25:19,1639.616,46,Pradip khatiwada,2020-08-30 7:25:19,Trail and Community Infrastructure Mapping for Emergency Preparedness and Response in Kalikot DistrictYouth Innovation LabPradip khatiwada['Nepal'],FALSE
751,4588,9317,"Daboya (R109), Ghana #Leclara, #liei-larabanga",MODERATE,MEDIUM,100,100,ARCHIVED,2024-02-08 1:26:17,,['Ghana'],OSM Ghana,2020-09-06 22:24:53,129.918,26,Robert Danziger,2020-09-06 22:24:53,"Daboya (R109), Ghana #Leclara, #liei-larabangaOSM GhanaRobert Danziger['Ghana']",FALSE
752,4589,9352,"Oyo, Nigeria - Mapping Buildings",MODERATE,MEDIUM,99,99,ARCHIVED,2023-08-22 13:33:52,,['Nigeria'],YouthMappers,2020-09-11 1:54:16,655.091,162,Rory Nealon,2020-09-11 1:54:16,"Oyo, Nigeria - Mapping BuildingsYouthMappersRory Nealon['Nigeria']",FALSE
759,4607,9457,"NIGERIA Delta, 1st WO",EASY,MEDIUM,100,100,ARCHIVED,2020-11-05 17:40:28,,['Nigeria'],INTEGRATION Consulting Group,2020-09-28 8:37:33,23.161,10,Anna Bojarska,2020-09-28 8:37:33,"NIGERIA Delta, 1st WOINTEGRATION Consulting GroupAnna Bojarska['Nigeria']",FALSE
760,4608,9462,"Informal settlements' mapping - Katanga, Kampala, Uganda",EASY,MEDIUM,100,100,ARCHIVED,2022-05-19 12:55:11,,['Uganda'],MapRI Initiative Uganda,2020-09-28 12:09:20,0.296,19,Solomon Kica,2020-09-28 12:09:20,"Informal settlements' mapping - Katanga, Kampala, UgandaMapRI Initiative UgandaSolomon Kica['Uganda']",FALSE
766,4618,9498,Nepal Red Cross Society Missing Maps Nepal-Lekhabesi Municipality,EASY,MEDIUM,100,100,ARCHIVED,2023-12-07 8:56:08,,['Nepal'],IFRC,2020-10-05 5:31:33,180.79,61,Niru,2020-10-05 5:31:33,Nepal Red Cross Society Missing Maps Nepal-Lekhabesi MunicipalityIFRCNiru['Nepal'],FALSE
773,4626,9521,Ramanihuria 2.5 Kisarawe II,EASY,MEDIUM,100,100,ARCHIVED,2022-05-19 12:58:36,,['Tanzania'],OpenMap Development Tanzania,2020-10-07 18:59:22,140.023,44,Johanes Petro Machela,2020-10-07 18:59:22,Ramanihuria 2.5 Kisarawe IIOpenMap Development TanzaniaJohanes Petro Machela['Tanzania'],FALSE
792,4651,9588,Resilience Academy - Tree digitization,EASY,MEDIUM,100,100,ARCHIVED,2021-11-15 8:00:29,,['Tanzania'],Spatial Collective,2020-10-16 4:39:34,5.784,38,Justus Muhando,2020-10-16 4:39:34,Resilience Academy - Tree digitizationSpatial CollectiveJustus Muhando['Tanzania'],FALSE
795,4659,9634,"COVID -19-Tutume District-09, Botswana",EASY,MEDIUM,100,100,ARCHIVED,2022-05-19 13:11:30,,['Botswana'],HOT,2020-10-20 21:32:04,3495.334,66,Shamillah Nassozi,2020-10-20 21:32:04,"COVID -19-Tutume District-09, BotswanaHOTShamillah Nassozi['Botswana']",FALSE
798,4666,9642,"COVID-19 Lethlakane District-1, Botswana",MODERATE,MEDIUM,100,100,ARCHIVED,2022-06-28 9:40:40,,['Botswana'],HOT,2020-10-21 11:22:08,3428.638,25,Sam Colchester,2020-10-21 11:22:08,"COVID-19 Lethlakane District-1, BotswanaHOTSam Colchester['Botswana']",FALSE
804,4682,9664,Tarawa mapping,EASY,MEDIUM,100,100,ARCHIVED,2024-08-27 3:46:20,,['Kiribati'],Kiribati Women in Mapping,2020-10-23 6:04:28,277.139,245,Ueakeia M Tofinga,2020-10-23 6:04:28,Tarawa mappingKiribati Women in MappingUeakeia M Tofinga['Kiribati'],FALSE
805,4683,9679,SSSI | FireWaterMapathon | Great Ocean Road,MODERATE,MEDIUM,100,100,ARCHIVED,2021-12-16 6:08:28,2020-10-26 16:00:00,['Australia'],Surveying and Spatial Sciences Institute,2020-10-25 2:05:52,693.216,48,Nathan Eaton,2020-10-25 2:05:52,SSSI | FireWaterMapathon | Great Ocean RoadSurveying and Spatial Sciences InstituteNathan Eaton['Australia'],FALSE
847,4776,9922,"Missing Maps: Buildings in Mamfe, Cameroon",MODERATE,MEDIUM,100,99,ARCHIVED,2022-03-05 19:37:13,,['Cameroon'],Médecins Sans Frontières (MSF),2020-11-24 17:14:42,12.38,17,Jorieke Vyncke,2020-11-24 17:14:42,"Missing Maps: Buildings in Mamfe, CameroonMédecins Sans Frontières (MSF) Jorieke Vyncke['Cameroon']",FALSE
873,4807,9986,Emergency Service Mapping in Sundar Bazar Municipality,EASY,MEDIUM,100,100,ARCHIVED,2022-01-19 16:16:33,,['Nepal'],Youth Innovation Lab,2020-12-06 10:49:50,71.961,40,Pradip khatiwada,2020-12-06 10:49:50,Emergency Service Mapping in Sundar Bazar Municipality Youth Innovation LabPradip khatiwada['Nepal'],FALSE
881,4818,10048,Missing Maps - Malawi - NLRC- Iponga,EASY,MEDIUM,100,100,ARCHIVED,2021-11-06 15:44:42,2020-12-30 23:00:00,['Malawi'],Netherlands Red Cross,2020-12-14 8:21:55,31.538,25,Koos Krijnders,2020-12-14 8:21:55,Missing Maps - Malawi - NLRC- IpongaNetherlands Red CrossKoos Krijnders['Malawi'],FALSE
887,4828,10090,Zambia Local Impact Governance Activity - Chibombo District-02,MODERATE,MEDIUM,100,100,ARCHIVED,2022-05-23 11:20:05,,['Zambia'],HOT,2021-01-06 11:52:06,3569.389,1463,Sam Colchester,2021-01-06 11:52:06,Zambia Local Impact Governance Activity - Chibombo District-02HOTSam Colchester['Zambia'],FALSE
908,4858,10190,Missing Maps - Jordan - NLRC- Al Sawalihah,EASY,MEDIUM,100,100,ARCHIVED,2022-02-03 15:29:55,2021-01-30 23:00:00,['Jordan'],Netherlands Red Cross,2021-01-18 9:59:14,24.109,91,Koos Krijnders,2021-01-18 9:59:14,Missing Maps - Jordan - NLRC- Al SawalihahNetherlands Red CrossKoos Krijnders['Jordan'],FALSE
914,4869,10304,MOCAMBIQUE BEIRA,MODERATE,MEDIUM,100,100,ARCHIVED,2022-02-03 15:30:16,2021-02-14 23:00:00,['Mozambique'],Netherlands Red Cross,2021-02-01 9:38:01,0.416,27,Koos Krijnders,2021-02-01 9:38:01,MOCAMBIQUE BEIRA Netherlands Red CrossKoos Krijnders['Mozambique'],FALSE
915,4870,10306,"Missing Maps: Disaster preparedness - Floods, Togo - Oti Prefecture",EASY,MEDIUM,100,100,ARCHIVED,2021-04-26 20:51:43,,['Togo'],German Red Cross,2021-02-01 12:26:12,114.031,113,Isabell Klipper,2021-02-01 12:26:12,"Missing Maps: Disaster preparedness - Floods, Togo - Oti PrefectureGerman Red CrossIsabell Klipper['Togo']",FALSE
917,4873,10333,MAPPING AND VALIDATION OF KATHMANDU,MODERATE,MEDIUM,100,100,ARCHIVED,2024-07-09 8:49:42,2021-04-14 18:15:00,['Nepal'],Digital Mappers Dang,2021-02-08 2:20:28,8.291,113,Anil Basnet,2021-02-08 2:20:28,MAPPING AND VALIDATION OF KATHMANDUDigital Mappers DangAnil Basnet['Nepal'],FALSE
918,4874,10335,Mapping Transport Networks for Accessibility in Bhutan,MODERATE,MEDIUM,100,100,ARCHIVED,2021-06-28 4:25:47,,['Bhutan'],Kathmandu Living Labs,2021-02-08 5:17:57,1081.01,13,Roshan Paudel,2021-02-08 5:17:57,Mapping Transport Networks for Accessibility in BhutanKathmandu Living LabsRoshan Paudel['Bhutan'],FALSE
923,4885,10425,Nathalie Sidibe,MODERATE,MEDIUM,100,100,ARCHIVED,2022-05-23 11:28:44,2021-12-30 23:00:00,['Mali'],OSM Mali,2021-02-19 13:45:56,37.025,56,Nathalie Sidibe,2021-02-19 13:45:56,Nathalie SidibeOSM MaliNathalie Sidibe['Mali'],FALSE
950,4918,10486,"Fighting epidemics in precarious areas of Salvador, Brasil - Suburb I",EASY,MEDIUM,100,100,ARCHIVED,2023-07-11 8:21:34,,['Brazil'],YouthMappers,2021-03-04 17:05:23,1.041,142,Rory Nealon,2021-03-04 17:05:23,"Fighting epidemics in precarious areas of Salvador, Brasil - Suburb IYouthMappersRory Nealon['Brazil']",FALSE
961,4945,10549,"Requiem mapping for the 2011 Tōhoku earthquake and tsunami, Building/Roads Mapping. Kesenuma, MIyagi, Japan",EASY,MEDIUM,100,99,ARCHIVED,2024-10-13 12:47:23,,['Japan'],HOT Project Manager Trainees,2021-03-13 7:19:48,374.848,313,Taichi Furuhashi,2021-03-13 7:19:48,"Requiem mapping for the 2011 Tōhoku earthquake and tsunami, Building/Roads Mapping. Kesenuma, MIyagi, JapanHOT Project Manager TraineesTaichi Furuhashi['Japan']",FALSE
966,4960,10580,Missing Maps: Mapping buildings in Chitungwiza:  Zimbabwe,EASY,MEDIUM,100,100,ARCHIVED,2021-04-25 6:40:30,2021-03-28 21:00:00,['Zimbabwe'],Médecins Sans Frontières (MSF),2021-03-22 16:36:38,70.439,770,Last Mufoya,2021-03-22 16:36:38,Missing Maps: Mapping buildings in Chitungwiza:  ZimbabweMédecins Sans Frontières (MSF) Last Mufoya['Zimbabwe'],FALSE
972,4972,10622,"Mapping the Chepang Community in the Kailash Municipality, Nepal",EASY,MEDIUM,100,100,ARCHIVED,2021-12-25 17:12:09,,['Nepal'],YouthMappers,2021-03-31 2:42:27,204.496,101,Rory Nealon,2021-03-31 2:42:27,"Mapping the Chepang Community in the Kailash Municipality, NepalYouthMappersRory Nealon['Nepal']",FALSE
974,4974,10625,Mapeamento do Patrimônio Histórico em São João del-Rei,EASY,MEDIUM,100,100,ARCHIVED,2022-07-26 13:30:18,,['Brazil'],YouthMappers,2021-04-01 2:28:29,0.596,12,Rory Nealon,2021-04-01 2:28:29,Mapeamento do Patrimônio Histórico em São João del-ReiYouthMappersRory Nealon['Brazil'],FALSE
980,4982,10640,Lubbock Compact Map-A-Thon,EASY,MEDIUM,100,100,ARCHIVED,2023-07-11 8:21:58,,['United States'],YouthMappers,2021-04-06 3:10:08,153.765,400,Rory Nealon,2021-04-06 3:10:08,Lubbock Compact Map-A-ThonYouthMappersRory Nealon['United States'],FALSE
982,4988,10682,OSM Fiji - Lami corridor buildings,EASY,MEDIUM,100,100,ARCHIVED,2022-10-13 7:07:37,2021-05-30 16:00:00,['Fiji'],OSM Fiji,2021-04-11 23:56:34,33.999,102,John Bryant,2021-04-11 23:56:34,OSM Fiji - Lami corridor buildingsOSM FijiJohn Bryant['Fiji'],FALSE
984,4991,10688,Somaliland Wajaale Fences 2013,EASY,MEDIUM,100,100,ARCHIVED,2023-07-11 8:22:15,,['Somalia'],Map For Future,2021-04-14 17:23:09,99.837,86,Malkav_,2021-04-14 17:23:09,Somaliland Wajaale Fences 2013Map For FutureMalkav_['Somalia'],FALSE
988,4995,10702,Gambia-Kerewan_Buildings_Mapping,EASY,MEDIUM,100,100,ARCHIVED,2023-07-11 8:22:49,,['The Gambia'],Akros,2021-04-16 7:32:03,2217.003,9,Frazer Bwalya,2021-04-16 7:32:03,Gambia-Kerewan_Buildings_MappingAkrosFrazer Bwalya['The Gambia'],FALSE
997,5013,10761,Shaga Residential Buildings Mapping,EASY,MEDIUM,100,100,ARCHIVED,2023-07-11 8:23:28,2021-04-22 22:00:00,['Nigeria'],Akros,2021-04-22 16:20:53,6.321,7,Patrick Kapanda Kabanda,2021-04-22 16:20:53,Shaga Residential Buildings MappingAkrosPatrick Kapanda Kabanda['Nigeria'],FALSE
998,5014,10765,Missing Maps - Uganda - Kasese (Karusandra),EASY,MEDIUM,100,100,ARCHIVED,2023-01-05 20:26:04,,['Uganda'],Netherlands Red Cross,2021-04-23 17:40:52,154.43,20,Koos Krijnders,2021-04-23 17:40:52,Missing Maps - Uganda - Kasese (Karusandra)Netherlands Red CrossKoos Krijnders['Uganda'],FALSE
1009,5033,10868,Okuryangava - Windhoek Buildings,EASY,MEDIUM,100,100,ARCHIVED,2023-10-04 7:41:42,,['Namibia'],Namibia UST,2021-05-07 5:30:18,1.238,62,Geoffrey Kateregga,2021-05-07 5:30:18,Okuryangava - Windhoek BuildingsNamibia USTGeoffrey Kateregga['Namibia'],FALSE
1014,5038,10878,Mise à jour des données geospatiales dans la ville de Menaka (Mali),MODERATE,MEDIUM,100,100,ARCHIVED,2023-07-11 8:23:49,,['Mali'],YouthMappers,2021-05-11 18:06:14,2.641,24,Rory Nealon,2021-05-11 18:06:14,Mise à jour des données geospatiales dans la ville de Menaka (Mali)YouthMappersRory Nealon['Mali'],FALSE
